epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60731,2.00244,2.51063,1.0788,0.00161,0.27124,0.04323,0.01948,4.51706,4.08822,1.99282,0.067825,0.000325,0.000325
2,11.3335,1.82807,1.17338,1.04158,0.91562,0.90619,0.98724,0.85459,1.14187,2.32339,0.8328,0.034825,0.000658332,0.000658332
3,16.8277,1.67539,0.95406,1.01641,0.9424,0.94635,0.96593,0.81748,1.22425,0.92422,0.8833,0.00182499,0.000991657,0.000991657
4,22.6434,1.56699,0.88073,1.00317,0.96452,0.95914,0.98787,0.88644,1.00523,0.87484,0.82898,0.000999978,0.000999978,0.000999978
5,28.0131,1.5211,0.79363,0.98831,0.97917,0.97771,0.9899,0.882,0.97245,0.71472,0.83464,0.000999961,0.000999961,0.000999961
6,33.3192,1.51434,0.75876,0.96769,0.98784,0.99091,0.99348,0.88804,1.00946,0.51784,0.83108,0.000999939,0.000999939,0.000999939
7,38.2799,1.49709,0.74778,0.98572,0.97569,0.99091,0.99466,0.89902,0.93254,0.54475,0.82493,0.000999912,0.000999912,0.000999912
8,43.4925,1.41648,0.66405,0.95819,0.98532,1,0.99491,0.90912,0.82308,0.55913,0.815,0.00099988,0.00099988,0.00099988
9,48.6014,1.39466,0.6482,0.97258,0.99012,1,0.995,0.90247,0.85985,0.48769,0.81313,0.000999844,0.000999844,0.000999844
10,53.666,1.38118,0.62267,0.96329,0.99099,0.99091,0.99482,0.90898,0.84248,0.44031,0.82535,0.000999802,0.000999802,0.000999802
11,57.9634,1.27959,0.59084,0.93205,0.99728,1,0.995,0.92068,0.81236,0.42354,0.81159,0.000999756,0.000999756,0.000999756
12,63.4368,1.2925,0.5886,0.94374,0.99869,1,0.995,0.91329,0.81536,0.43679,0.83175,0.000999704,0.000999704,0.000999704
13,69.3075,1.24475,0.60266,0.9599,0.98262,0.98115,0.9873,0.90929,0.79456,0.43719,0.80435,0.000999648,0.000999648,0.000999648
14,74.4975,1.21139,0.57045,0.93328,0.99874,0.99844,0.995,0.94186,0.71022,0.36492,0.80544,0.000999587,0.000999587,0.000999587
15,80.4232,1.21117,0.55888,0.94803,0.99579,1,0.995,0.92431,0.81249,0.38012,0.82119,0.000999521,0.000999521,0.000999521
16,86.1004,1.18754,0.55119,0.93134,0.98737,1,0.99491,0.91071,0.81891,0.41344,0.81248,0.00099945,0.00099945,0.00099945
17,91.0016,1.26361,0.5579,0.94244,0.99751,0.99091,0.99466,0.92578,0.75354,0.3942,0.81989,0.000999375,0.000999375,0.000999375
18,96.5708,1.20263,0.53763,0.94043,0.99504,0.99091,0.99491,0.93822,0.7579,0.36168,0.82182,0.000999294,0.000999294,0.000999294
19,102.415,1.1208,0.50508,0.93199,0.99115,0.98967,0.9932,0.93129,0.75806,0.3736,0.82515,0.000999209,0.000999209,0.000999209
20,107.673,1.14229,0.49394,0.93433,0.99711,0.99171,0.995,0.94923,0.65503,0.34947,0.81406,0.000999118,0.000999118,0.000999118
21,112.589,1.1244,0.50065,0.92618,0.99681,0.99731,0.995,0.92958,0.72233,0.34418,0.8194,0.000999023,0.000999023,0.000999023
22,118.331,1.11873,0.50543,0.93273,0.99535,0.98271,0.99483,0.93459,0.69223,0.35058,0.81635,0.000998923,0.000998923,0.000998923
23,123.42,1.14996,0.48061,0.93551,0.99814,1,0.995,0.93855,0.71443,0.34142,0.82365,0.000998818,0.000998818,0.000998818
24,129.132,1.08361,0.47672,0.92256,0.99895,1,0.995,0.93513,0.70239,0.32661,0.80544,0.000998708,0.000998708,0.000998708
25,134.711,1.14159,0.48087,0.9402,0.79626,0.80728,0.97917,0.86432,0.92429,1.152,0.84115,0.000998594,0.000998594,0.000998594
26,139.962,1.12958,0.48122,0.93509,0.98845,1,0.99491,0.93927,0.70681,0.33042,0.81046,0.000998474,0.000998474,0.000998474
27,145.571,1.0916,0.46848,0.93653,0.99756,0.99936,0.995,0.94763,0.68475,0.31954,0.8104,0.00099835,0.00099835,0.00099835
28,150.892,1.06193,0.45995,0.9161,0.98545,0.99246,0.99491,0.94711,0.62583,0.34094,0.79644,0.00099822,0.00099822,0.00099822
29,156.459,0.99881,0.43275,0.90675,0.97553,0.99793,0.99392,0.95589,0.63644,0.31473,0.8287,0.000998086,0.000998086,0.000998086
30,162.058,1.06074,0.44911,0.91696,0.99757,0.99985,0.995,0.95405,0.65052,0.30989,0.81936,0.000997947,0.000997947,0.000997947
31,167.182,1.03795,0.43631,0.9126,0.99192,0.99481,0.99492,0.95701,0.64571,0.3128,0.81551,0.000997803,0.000997803,0.000997803
32,172.816,1.04412,0.43878,0.90987,0.99874,1,0.995,0.95507,0.65131,0.30824,0.81312,0.000997654,0.000997654,0.000997654
33,177.828,1.11775,0.4418,0.93464,0.99851,0.99091,0.99451,0.94545,0.71566,0.30331,0.81529,0.000997501,0.000997501,0.000997501
34,182.732,1.12381,0.45697,0.93442,0.99843,1,0.995,0.9391,0.67066,0.30219,0.81238,0.000997342,0.000997342,0.000997342
35,188.725,1.02135,0.42506,0.9211,0.99957,0.99643,0.995,0.95627,0.62442,0.28655,0.81045,0.000997179,0.000997179,0.000997179
36,193.763,1.11087,0.46157,0.92532,0.9982,1,0.995,0.9444,0.6646,0.31636,0.82014,0.000997011,0.000997011,0.000997011
37,199.217,1.04041,0.42481,0.91887,0.99667,0.99928,0.995,0.96762,0.60006,0.27998,0.80434,0.000996838,0.000996838,0.000996838
38,204.029,1.02266,0.42759,0.90617,0.99912,0.99163,0.995,0.95547,0.67114,0.30209,0.81445,0.00099666,0.00099666,0.00099666
39,209.308,1.00294,0.41271,0.91026,0.98828,1,0.99491,0.95686,0.62436,0.29025,0.80581,0.000996477,0.000996477,0.000996477
40,215.083,0.98216,0.41168,0.91894,0.98936,1,0.995,0.94612,0.62558,0.28374,0.80633,0.000996289,0.000996289,0.000996289
41,221.017,1.01299,0.4085,0.9151,0.99807,1,0.995,0.94338,0.6763,0.28051,0.81765,0.000996097,0.000996097,0.000996097
42,226.681,1.04021,0.42454,0.91905,0.99353,0.99915,0.995,0.94222,0.64583,0.29051,0.81751,0.000995899,0.000995899,0.000995899
43,231.934,1.02199,0.42583,0.92143,0.98987,1,0.99435,0.96042,0.62329,0.29677,0.80411,0.000995697,0.000995697,0.000995697
44,237.436,1.0069,0.41166,0.92384,0.99623,1,0.995,0.96791,0.57075,0.27641,0.7931,0.00099549,0.00099549,0.00099549
45,242.162,1.04965,0.42996,0.91431,0.99897,0.99787,0.995,0.95048,0.62915,0.29422,0.81942,0.000995278,0.000995278,0.000995278
46,247.557,1.02847,0.42168,0.91497,0.99725,1,0.995,0.95622,0.59968,0.27962,0.81196,0.000995062,0.000995062,0.000995062
47,253.172,0.9659,0.40905,0.8998,0.99533,1,0.995,0.9598,0.60909,0.28165,0.81193,0.00099484,0.00099484,0.00099484
48,258.329,1.0274,0.41149,0.91827,0.99743,1,0.995,0.96465,0.66845,0.27743,0.82619,0.000994614,0.000994614,0.000994614
49,263.601,0.99302,0.40367,0.89157,0.99831,1,0.995,0.9691,0.58659,0.27517,0.81245,0.000994383,0.000994383,0.000994383
50,269.029,1.00074,0.39562,0.9149,0.99865,1,0.995,0.95702,0.64735,0.27875,0.82201,0.000994147,0.000994147,0.000994147
51,274.027,1.00792,0.40712,0.91112,0.99876,1,0.995,0.96632,0.59028,0.2595,0.81914,0.000993906,0.000993906,0.000993906
52,279.388,0.97432,0.39782,0.91292,0.99006,0.99091,0.99482,0.96296,0.63452,0.28144,0.80806,0.00099366,0.00099366,0.00099366
53,285.812,1.00999,0.40476,0.9232,0.99507,0.999,0.995,0.95917,0.59503,0.2709,0.81343,0.00099341,0.00099341,0.00099341
54,290.779,0.98057,0.39402,0.90731,0.99818,1,0.995,0.96721,0.58438,0.26919,0.80781,0.000993154,0.000993154,0.000993154
55,296.125,0.98591,0.39865,0.89435,0.99813,1,0.995,0.95715,0.57149,0.27239,0.80752,0.000992894,0.000992894,0.000992894
56,301.719,0.96092,0.38504,0.90868,0.99879,0.99091,0.99491,0.9575,0.57528,0.26572,0.81671,0.000992629,0.000992629,0.000992629
57,307.949,0.96688,0.38564,0.91938,0.99786,1,0.995,0.96652,0.61562,0.26793,0.81828,0.000992359,0.000992359,0.000992359
58,313.611,0.93121,0.38429,0.90381,0.99709,0.99989,0.995,0.96004,0.56239,0.25735,0.808,0.000992085,0.000992085,0.000992085
59,318.908,0.95386,0.39061,0.89891,0.99525,0.98255,0.995,0.95971,0.54715,0.27255,0.80111,0.000991805,0.000991805,0.000991805
60,324.017,0.95071,0.39171,0.90093,0.99651,0.99914,0.995,0.97431,0.56056,0.27271,0.79276,0.000991521,0.000991521,0.000991521
